Date,Open,High,Low,Close,Adj Close,Volume
2000-06-15,1011.5,1020.0,1011.5,1020.0,1020.0,0
2000-06-16,1020.0,1020.0,969.0,969.0,969.0,0
2000-06-19,969.0,969.0,969.0,969.0,969.0,0
2000-06-20,952.0,952.0,952.0,952.0,952.0,0
2000-06-21,969.0,969.0,935.0,935.0,935.0,0
2000-06-22,918.0,918.0,918.0,918.0,918.0,0
2000-06-23,901.0,901.0,901.0,901.0,901.0,0
2000-06-26,816.0,816.0,816.0,816.0,816.0,0
2000-06-27,816.0,816.0,816.0,816.0,816.0,0
2000-06-28,731.0,731.0,731.0,731.0,731.0,0
2000-06-29,646.0,646.0,586.5,586.5,586.5,0
2000-06-30,612.0,612.0,612.0,612.0,612.0,0
2000-07-03,578.0,578.0,510.0,510.0,510.0,0
2000-07-05,595.0,595.0,595.0,595.0,595.0,0
2000-07-06,595.0,595.0,595.0,595.0,595.0,0
2000-07-07,595.0,595.0,595.0,595.0,595.0,0
2000-07-10,680.0,680.0,680.0,680.0,680.0,0
2000-07-11,646.0,646.0,646.0,646.0,646.0,2
2000-07-12,561.0,561.0,561.0,561.0,561.0,0
2000-07-13,510.0,510.0,510.0,510.0,510.0,0
2000-07-14,425.0,425.0,425.0,425.0,425.0,0
2000-07-17,459.0,501.5,459.0,501.5,501.5,0
2000-07-18,544.0,595.0,544.0,595.0,595.0,0
2000-07-19,561.0,561.0,561.0,561.0,561.0,0
2000-07-20,595.0,646.0,595.0,646.0,646.0,2
2000-07-21,612.0,612.0,612.0,612.0,612.0,0
2000-07-24,612.0,612.0,612.0,612.0,612.0,0
2000-07-25,544.0,544.0,544.0,544.0,544.0,0
2000-07-26,544.0,544.0,544.0,544.0,544.0,0
2000-07-27,544.0,544.0,544.0,544.0,544.0,0
2000-07-28,544.0,544.0,544.0,544.0,544.0,0
2000-07-31,510.0,510.0,510.0,510.0,510.0,0
2000-08-01,561.0,612.0,561.0,612.0,612.0,0
2000-08-02,612.0,612.0,595.0,595.0,595.0,0
2000-08-03,595.0,595.0,561.0,561.0,561.0,0
2000-08-04,561.0,561.0,544.0,544.0,544.0,0
2000-08-07,595.0,595.0,595.0,595.0,595.0,4
2000-08-08,544.0,544.0,476.0,476.0,476.0,0
2000-08-09,476.0,476.0,476.0,476.0,476.0,0
2000-08-10,544.0,544.0,544.0,544.0,544.0,0
2000-08-11,544.0,544.0,493.0,493.0,493.0,0
2000-08-14,476.0,476.0,476.0,476.0,476.0,0
2000-08-15,476.0,476.0,476.0,476.0,476.0,0
2000-08-16,476.0,476.0,476.0,476.0,476.0,0
2000-08-17,476.0,476.0,476.0,476.0,476.0,0
2000-08-18,476.0,476.0,476.0,476.0,476.0,0
2000-08-21,476.0,476.0,476.0,476.0,476.0,2
2000-08-22,442.0,442.0,442.0,442.0,442.0,0
2000-08-23,442.0,476.0,442.0,476.0,476.0,0
2000-08-24,476.0,595.0,476.0,595.0,595.0,0
2000-08-25,595.0,595.0,544.0,544.0,544.0,0
2000-08-28,544.0,544.0,544.0,544.0,544.0,0
2000-08-29,544.0,544.0,544.0,544.0,544.0,0
2000-08-30,544.0,612.0,544.0,612.0,612.0,0
2000-08-31,663.0,680.0,663.0,680.0,680.0,11
2000-09-01,680.0,782.0,680.0,731.0,731.0,0
2000-09-05,714.0,714.0,714.0,714.0,714.0,0
2000-09-06,680.0,731.0,680.0,731.0,731.0,0
2000-09-07,748.0,748.0,748.0,748.0,748.0,0
2000-09-08,731.0,731.0,697.0,697.0,697.0,0
2000-09-11,663.0,663.0,663.0,663.0,663.0,0
2000-09-12,680.0,680.0,680.0,680.0,680.0,0
2000-09-13,680.0,680.0,680.0,680.0,680.0,0
2000-09-14,680.0,714.0,680.0,714.0,714.0,0
2000-09-15,697.0,697.0,697.0,697.0,697.0,0
2000-09-18,646.0,646.0,646.0,646.0,646.0,0
2000-09-19,629.0,629.0,629.0,629.0,629.0,0
2000-09-20,612.0,612.0,578.0,578.0,578.0,0
2000-09-21,612.0,612.0,561.0,561.0,561.0,0
2000-09-22,544.0,544.0,510.0,510.0,510.0,6
2000-09-25,544.0,544.0,544.0,544.0,544.0,0
2000-09-26,561.0,561.0,561.0,561.0,561.0,0
2000-09-27,569.5,569.5,569.5,569.5,569.5,0
2000-09-28,544.0,544.0,544.0,544.0,544.0,0
2000-09-29,561.0,561.0,527.0,527.0,527.0,0
2000-10-02,527.0,527.0,527.0,527.0,527.0,0
2000-10-03,527.0,527.0,527.0,527.0,527.0,0
2000-10-04,527.0,527.0,484.5,484.5,484.5,0
2000-10-05,510.0,510.0,510.0,510.0,510.0,0
2000-10-06,493.0,493.0,493.0,493.0,493.0,0
2000-10-09,450.5,450.5,450.5,450.5,450.5,0
2000-10-10,459.0,459.0,459.0,459.0,459.0,0
2000-10-11,391.0,391.0,391.0,391.0,391.0,0
2000-10-12,408.0,408.0,408.0,408.0,408.0,0
2000-10-13,391.0,425.0,391.0,425.0,425.0,0
2000-10-16,408.0,493.0,408.0,493.0,493.0,0
2000-10-17,510.0,510.0,510.0,510.0,510.0,0
2000-10-18,493.0,493.0,459.0,459.0,459.0,0
2000-10-19,493.0,527.0,493.0,527.0,527.0,0
2000-10-20,527.0,527.0,527.0,527.0,527.0,0
2000-10-23,527.0,527.0,527.0,527.0,527.0,0
2000-10-24,527.0,527.0,527.0,527.0,527.0,0
2000-10-25,544.0,544.0,544.0,544.0,544.0,0
2000-10-26,535.5,535.5,535.5,535.5,535.5,0
2000-10-27,535.5,552.5,535.5,552.5,552.5,0
2000-10-30,552.5,552.5,552.5,552.5,552.5,0
2000-10-31,552.5,552.5,552.5,552.5,552.5,0
2000-11-01,569.5,569.5,569.5,569.5,569.5,0
2000-11-02,561.0,561.0,561.0,561.0,561.0,0
2000-11-03,561.0,578.0,561.0,578.0,578.0,0
2000-11-06,578.0,578.0,578.0,578.0,578.0,0
2000-11-07,561.0,561.0,561.0,561.0,561.0,0
2000-11-08,561.0,561.0,561.0,561.0,561.0,0
2000-11-09,544.0,544.0,544.0,544.0,544.0,0
2000-11-10,527.0,527.0,476.0,476.0,476.0,0
2000-11-13,476.0,476.0,442.0,442.0,442.0,0
2000-11-14,442.0,442.0,442.0,442.0,442.0,0
2000-11-15,510.0,510.0,510.0,510.0,510.0,0
2000-11-16,476.0,476.0,476.0,476.0,476.0,0
2000-11-17,476.0,476.0,476.0,476.0,476.0,0
2000-11-20,510.0,510.0,510.0,510.0,510.0,0
2000-11-21,510.0,510.0,510.0,510.0,510.0,0
2000-11-22,493.0,493.0,493.0,493.0,493.0,0
2000-11-24,459.0,459.0,459.0,459.0,459.0,0
2000-11-27,476.0,476.0,476.0,476.0,476.0,0
2000-11-28,476.0,476.0,476.0,476.0,476.0,0
2000-11-29,476.0,476.0,476.0,476.0,476.0,0
2000-11-30,493.0,493.0,459.0,459.0,459.0,0
